Nº,Código do município,Código do IBGE,Município,UF,Identificação da Faixa Populacional,Possui Legislação Municipal ?,Custo unitário da coleta 2022,Custo unitário da coleta 2021,Custo unitário da coleta 2020,Custo unitário da coleta 2019,Custo unitário da coleta 2018
1,330030,3300308,Barra do Piraí,RJ,2,Não,154.74,188.93,141.28,380.85,252.5
2,330040,3300407,Barra Mansa,RJ,3,Não,267.37,199.59,161.91,137.64,96.32
3,330045,3300456,Belford Roxo,RJ,4,Sim,82.19,175.19,164.45,188.29,194.15
4,330050,3300506,Bom Jardim,RJ,1,Não,486.57,165.49,496.84,383.68,260.57
5,330080,3300803,Cachoeiras de Macacu,RJ,2,Sim,281.29,257,198.28,181.09,196.53
6,330110,3301108,Cantagalo,RJ,1,Não,489.65,479.01,382.19,328.24,246.36
7,330120,3301207,Carmo,RJ,1,Não,293.09,306.55,436.97,300.96,166.94
8,330130,3301306,Casimiro de Abreu,RJ,2,Não,190.45,186.86,237.23,265.95,236.15
9,330150,3301504,Cordeiro,RJ,1,Sim,116.66,116.68,124.33,171.32,174.89
10,330160,3301603,Duas Barras,RJ,1,Não,314.64,251.44,135.1,91.6,157.26
11,330170,3301702,Duque de Caxias,RJ,4,Sim,190.48,179.45,156.97,155.99,81.94
12,330190,3301900,Itaboraí,RJ,3,Não,328.77,140.52,232.55,167.95,176.72
13,330220,3302205,Itaperuna,RJ,3,Não,243.46,213.08,124.65,152.33,116.02
14,330227,3302270,Japeri,RJ,2,Não,500,316.17,313.37,341.8,325
15,330270,3302700,Maricá,RJ,3,Não,141.08,113.72,180,561.11,202.78
16,330280,3302809,Mendes,RJ,1,Não,496.14,507.03,219.97,222.82,216.02
17,330285,3302858,Mesquita,RJ,3,Sim,260.92,68.99,68,250.94,144.95
18,330320,3303203,Nilópolis,RJ,3,Não,102.56,111.85,171.45,200.57,199.42
19,330330,3303302,Niterói,RJ,4,Não,163.59,163.26,165.8,177.67,156.17
20,330350,3303500,Nova Iguaçu,RJ,4,Sim,147.66,121.76,134.39,148.11,128.99
21,330380,3303807,Paraty,RJ,2,Sim,218.7,442.05,420.74,350,190.34
22,330390,3303906,Petrópolis,RJ,4,Sim,123.85,126.67,124.85,123.04,114.43
23,330395,3303955,Pinheiral,RJ,1,Sim,263.45,269.47,76.5,270.94,88.92
24,330410,3304102,Porciúncula,RJ,1,Sim,200,181.82,186.79,186.79,186.79
25,330412,3304128,Quatis,RJ,1,Sim,476.89,100.75,30.45,115.91,107.15
26,330414,3304144,Queimados,RJ,3,Não,290.97,91.74,119,155.65,156.71
27,330415,3304151,Quissamã,RJ,1,Sim,223.91,386.81,392.56,499.82,386.53
28,330420,3304201,Resende,RJ,3,Sim,171.2,184.42,174.93,159.87,159.22
29,330430,3304300,Rio Bonito,RJ,2,Não,136.32,301.7,68.98,69.45,66.51
30,330440,3304409,Rio Claro,RJ,1,Sim,253.44,144.86,170.94,242.78,171.12
31,330455,3304557,Rio de Janeiro,RJ,6,Sim,242.68,211.92,270.65,215.3,200.52
32,330460,3304607,Santa Maria Madalena,RJ,1,Sim,252.5,214.19,170.31,146.96,175.06
33,330480,3304805,São Fidélis,RJ,2,Sim,264.16,390,639.59,233.33,233.33
34,330490,3304904,São Gonçalo,RJ,4,Sim,207.83,64.86,113.16,68.23,177.37
35,330500,3305000,São João da Barra,RJ,2,Sim,170,133.88,128.18,124.54,125
36,330515,3305158,São José do Vale do Rio Preto,RJ,1,Não,176.18,327.38,188.69,326.09,116.82
37,330530,3305307,São Sebastião do Alto,RJ,1,Não,223.92,92.77,284.35,44.84,40.73
38,330550,3305505,Saquarema,RJ,2,Não,272.62,251.71,247.25,182.75,79.21
39,330570,3305703,Sumidouro,RJ,1,Não,139.64,373.72,373.72,386.26,386.26
40,330575,3305752,Tanguá,RJ,2,Sim,487.39,414.73,346.16,347.04,137.48
41,330580,3305802,Teresópolis,RJ,3,Não,260.64,182.06,198.52,316.17,96.2
42,330600,3306008,Três Rios,RJ,2,Sim,415.54,264.89,224.48,229.96,254.89
43,330630,3306305,Volta Redonda,RJ,4,Não,184.06,164.69,149.83,148.59,148.62
